Date,Closing_Price
11/1/2020,37.14
11/8/2020,40.13
11/15/2020,42.15
11/22/2020,45.53
11/29/2020,46.26
12/6/2020,46.57
12/13/2020,49.1
12/20/2020,48.23
12/27/2020,48.52
1/3/2021,52.24
1/10/2021,52.36
1/17/2021,52.27
1/24/2021,52.2
1/31/2021,56.85
2/7/2021,59.47
2/14/2021,59.24
2/21/2021,61.5
2/28/2021,66.09
3/7/2021,65.61
3/14/2021,61.42
3/21/2021,60.97
3/28/2021,61.45
4/4/2021,59.32
4/11/2021,63.13
4/18/2021,62.14
4/25/2021,63.58
5/2/2021,64.9
5/9/2021,65.37
5/16/2021,63.58
5/23/2021,66.32
5/30/2021,69.62
6/6/2021,70.91
6/13/2021,71.64
6/20/2021,74.05
6/27/2021,75.16
7/4/2021,74.56
7/11/2021,71.81
7/18/2021,72.07
7/25/2021,73.95
8/1/2021,68.28
8/8/2021,68.44
8/15/2021,62.32
8/22/2021,68.74
8/29/2021,69.29
9/5/2021,69.72
9/12/2021,71.97
9/19/2021,73.98
9/26/2021,75.88
10/3/2021,79.35
10/10/2021,82.28
10/17/2021,83.76
10/24/2021,83.57
10/31/2021,81.27
11/7/2021,80.79
11/14/2021,76.1
11/21/2021,68.15
11/28/2021,66.26
12/5/2021,71.67
12/12/2021,70.86
12/19/2021,73.79
12/26/2021,75.21
1/2/2022,78.9
1/9/2022,83.82
1/16/2022,85.14
1/23/2022,86.82
1/30/2022,92.31
2/6/2022,93.1
2/13/2022,91.07
2/20/2022,91.59
2/27/2022,115.68
3/6/2022,109.33
3/13/2022,104.7
3/20/2022,113.9
3/27/2022,99.27
4/3/2022,98.26
4/10/2022,106.95
4/17/2022,102.07
4/24/2022,104.69
5/1/2022,109.77
5/8/2022,110.49
5/15/2022,113.23
5/22/2022,115.07
5/29/2022,118.87
6/5/2022,120.67
6/12/2022,109.56
6/19/2022,107.62
6/26/2022,108.43
7/3/2022,104.79
7/10/2022,97.59
7/17/2022,94.7
7/24/2022,98.62
7/31/2022,89.01
8/7/2022,92.09
8/14/2022,90.77
8/21/2022,93.06
8/28/2022,86.87
9/4/2022,86.79
9/11/2022,85.11
9/18/2022,78.74
9/25/2022,79.49
10/2/2022,92.64
10/9/2022,85.61
10/16/2022,85.05
10/23/2022,87.9
10/30/2022,92.61
11/6/2022,88.96
11/13/2022,80.08
11/20/2022,76.28
11/27/2022,80.3
12/4/2022,71.5
12/11/2022,74.45
12/18/2022,79.34
12/25/2022,80.47
1/1/2023,73.69
1/8/2023,80.11
1/15/2023,81.64
1/22/2023,79.41
1/29/2023,73.2
2/5/2023,79.75
2/12/2023,76.34
2/19/2023,76.47
2/26/2023,79.68
3/5/2023,76.68
3/12/2023,66.74
3/19/2023,69.26
3/26/2023,75.67
4/2/2023,80.7
4/9/2023,82.52
4/16/2023,77.71
4/23/2023,76.78
4/30/2023,71.34
5/7/2023,70.04
5/14/2023,71.55
5/21/2023,72.67
5/28/2023,71.74
6/4/2023,70.17
6/11/2023,71.78
6/18/2023,69.16
6/25/2023,70.64
7/2/2023,73.86
7/9/2023,75.42
7/16/2023,77.07
7/23/2023,80.58
7/30/2023,82.82
8/6/2023,83.19
8/13/2023,81.25
8/20/2023,79.83
8/27/2023,85.55
9/3/2023,87.51
9/10/2023,90.77
9/17/2023,90.03
9/24/2023,90.79
10/1/2023,82.79
10/8/2023,87.69
10/15/2023,88.08
10/22/2023,85.54
10/29/2023,80.51
11/5/2023,76.69
